File,Hits,Tokens,Total
forster2-1910-2,103,102,1040
forster2-191x-2,119,119,951
fox-e3,202,198,1189
friar-e1,11,11,29
frost-1840-1,180,180,3268
frost-1840-2,112,112,1458
froude-1830-1,131,131,362
fryer-e3,182,178,645
garrick-1759-2,104,104,975
gascoigne-1500-e1,5,5,37
gascoigne-1510-e1,4,4,25
gawdy-e2,55,55,250
gcromw-e1,19,19,76
george-1763-1,77,77,288
gibbon-1776-1,78,77,454
gibbon-1789-2,57,57,382
gibson-1729-2,94,92,233
gifford-e2,240,240,1252
gisborne-1802-2,78,78,451
gladstone-1873-1,177,175,923
godwin-1805-1,135,135,593
goldsmith-1766-2,155,155,630
goldsmith-1773-1,126,126,1057
gordon-1781-2,390,384,2347
gpoole-1500-e1,22,22,101
gpoole-1510-e1,15,15,46
grafting-1780-1,89,88,422
green-1874-2,111,111,488
greville-1827-2,131,130,625
greville-1855-2,176,173,551
grey-1914-2,191,191,667
grey-e1,0,0,8
hardy-1874-2,133,133,863
hare-183x-2,131,127,525
harley-e2,37,37,196
harleyedw-e2,46,46,280
harman-e1,189,187,1178
harris-177x-2,171,170,555
harris-1797-2,165,163,341
hatcher-e2,3,3,12
haydon-1808-1,123,123,924
haydon-1842-2,103,103,1133
hayward-e2,182,178,625
heber-1815-2,107,105,243
henry-1510-e1,4,4,14
henry-1520-e1,12,12,56
henry-1530-e1,7,7,25
herschel-1797-1,106,106,730
hind-1707-1,136,133,297
hobson-173x-2,75,74,983
hoby-e2,149,149,2493
hodgkin-1880-2,114,108,327
holcroft-1794-2,130,128,646
holmes-letters-1749-1,76,76,295
holmes-trial-1749-1,146,144,1591
hooke-e3,191,187,572
hooker-a-e2,76,71,351
hooker-b-e2,57,55,418
hoole-e3,258,245,606
hoxinden-1640-e3,51,50,227
hoxinden-1650-e3,59,58,212
hoxinden-1660-e3,56,55,243
hume-1757-2,119,118,396
hume-1776-2,39,39,155
hunt-1844-2,72,72,345
huxley-186x-2,96,95,362
huxley-1889-2,56,56,191
inchbald-1793-2,146,145,914
innes-1902-2,112,112,521
interview-e1,2,2,11
iplumpt-e1,6,6,37
jackson-e3,3,3,29
jbarring-e2,50,50,170
jetaylor-e3,123,120,679
jetaylormeas-e3,94,92,420
johnson-1759-2,149,148,646
johnson-176x-2,162,161,769
johnson-1775-1,171,171,914
johnstone-1786-2,108,107,1237
jopinney-e3,48,48,233
jotaylor-e2,258,254,1131
joxinden-e2,49,49,126
jpinney-e3,18,17,90
jubarring-e2,25,25,68
judall-e2,137,134,472
justice-1739-2,133,133,721
keimer-1718-2,140,139,844
kimber-1742-1,120,119,350
kinglake-1844-2,134,133,528
kingsley-1897-2,96,96,664
kirkland-1774-2,62,61,373
knox-1786-2,64,64,490
knyveton-1752-actually-gray-1937-2,106,106,523
knyvett-1620-e2-h,49,49,238
knyvett-1620-e2-p1,81,81,378
knyvett-1630-e2,43,43,284
koxinden-e2,10,10,61
kpaston-e2,42,42,193
kscrope-1530-e1,5,5,16
kscrope-1580-e2,5,5,18
lancaster1-1806-1,132,131,542
lancaster2-1794-2,125,123,318
langf-e3,215,215,965
latimer-e1,159,157,984
lawrence-1908-2,110,110,895
layard-1894-2,155,154,526
layer-1723-2,673,662,2633
leathes-1913-2,123,123,645
lefevre-1843-2,102,101,557
leland-e1,47,46,1334
liddon-1889-2,70,70,465
lind-1753-1,95,95,293
lingard-1823-2,141,140,433
lisle-e3,181,176,1590
locke-e3,272,268,767
long-1866-1,104,103,557
lords-e1,7,7,16
loudon-1806-2,92,89,422
lyell-1830-1,87,86,302
macaulay-1833-2,107,107,520
