File,Hits,Tokens,Total
FROST-1840-2,128,128,1752
FROUDE-1830-1,91,91,910
FRYER-E3,204,204,1378
GARRICK-1759-2,121,121,1018
GASCOIGNE-1500-E1,16,16,55
GASCOIGNE-1510-E1,4,4,27
GAWDY-E2,72,72,339
GCROMW-E1,12,12,89
GEORGE-1763-1,43,43,519
GIBBON-1776-1,147,147,664
GIBBON-1789-2,131,131,607
GIBSON-1729-2,114,114,743
GIFFORD-E2,346,346,2465
GISBORNE-1802-2,48,48,858
GLADSTONE-1873-1,123,123,1118
GODWIN-1805-1,127,127,949
GOLDSMITH-1766-2,192,192,1087
GOLDSMITH-1773-1,104,104,1196
GORDON-1781-2,313,313,3828
GPOOLE-1500-E1,39,39,188
GPOOLE-1510-E1,23,23,95
GRAFTING-1780-1,122,122,761
GREEN-1874-2,169,169,764
GREVILLE-1827-2,201,201,1199
GREVILLE-1855-2,189,189,1109
GREY-1914-2,77,77,1218
GREY-E1,1,1,7
HARDY-1874-2,190,190,1236
HARE-183X-2,105,105,982
HARLEY-E2,53,53,270
HARLEYEDW-E2,70,70,423
HARMAN-E1,478,478,1851
HARRIS-177X-2,122,122,941
HARRIS-1797-2,64,64,1139
HATCHER-E2,3,3,15
HAYDON-1808-1,144,144,1093
HAYDON-1842-2,163,163,1233
HAYWARD-E2,192,192,1346
HEBER-1815-2,93,93,716
HENRY-1510-E1,2,2,25
HENRY-1520-E1,13,13,119
HENRY-1530-E1,7,7,36
HERSCHEL-1797-1,117,117,754
HIND-1707-1,100,100,752
HOBSON-173X-2,83,83,844
HOBY-E2,970,970,2616
HODGKIN-1880-2,71,71,626
HOLCROFT-1794-2,141,141,1118
HOLMES-LETTERS-1749-1,74,74,564
HOLMES-TRIAL-1749-1,269,269,2418
HOOKE-E3,257,257,1549
HOOKER-A-E2,73,73,814
HOOKER-B-E2,66,66,770
HOOLE-E3,177,177,1448
HOXINDEN-1640-E3,31,31,351
HOXINDEN-1650-E3,56,56,474
HOXINDEN-1660-E3,60,60,438
HUME-1757-2,112,112,747
HUME-1776-2,46,46,253
HUNT-1844-2,81,81,655
HUXLEY-186X-2,94,94,794
HUXLEY-1889-2,69,69,414
INCHBALD-1793-2,120,120,1145
INNES-1902-2,126,126,743
INTERVIEW-E1,3,3,19
IPLUMPT-E1,21,21,46
JACKSON-E3,12,12,48
JBARRING-E2,39,39,252
JETAYLOR-E3,325,325,1103
JETAYLORMEAS-E3,214,214,884
JOHNSON-1759-2,161,161,1013
JOHNSON-176X-2,141,141,1102
JOHNSON-1775-1,157,157,1219
JOHNSTONE-1786-2,121,121,1094
JOPINNEY-E3,64,64,341
JOTAYLOR-E2,524,524,2317
JOXINDEN-E2,45,45,211
JPINNEY-E3,31,31,133
JUBARRING-E2,27,27,132
JUDALL-E2,160,160,969
JUSTICE-1739-2,275,275,1229
KEIMER-1718-2,199,199,1576
KIMBER-1742-1,132,132,774
KINGLAKE-1844-2,182,182,923
KINGSLEY-1897-2,232,232,1037
KIRKLAND-1774-2,147,147,755
KNOX-1786-2,101,101,776
KNYVETON-1752-ACTUALLY-GRAY-1937-2,253,253,853
KNYVETT-1620-E2-H,66,66,318
KNYVETT-1620-E2-P1,89,89,527
KNYVETT-1630-E2,87,87,375
KOXINDEN-E2,15,15,75
KPASTON-E2,45,45,253
KSCROPE-1530-E1,5,5,17
KSCROPE-1580-E2,3,3,14
LANCASTER1-1806-1,120,120,843
LANCASTER2-1794-2,70,70,571
LANGF-E3,243,243,1606
LATIMER-E1,317,317,1607
LAWRENCE-1908-2,89,89,1120
LAYARD-1894-2,134,134,928
LAYER-1723-2,626,626,4953
LEATHES-1913-2,115,115,955
LEFEVRE-1843-2,151,151,895
LELAND-E1,370,370,1712
LIDDON-1889-2,124,124,864
LIND-1753-1,65,65,571
LINGARD-1823-2,141,141,705
LISLE-E3,285,285,2341
LOCKE-E3,249,249,1687
LONG-1866-1,209,209,974
LORDS-E1,2,2,26
LOUDON-1806-2,83,83,666
LYELL-1830-1,84,84,674
MACAULAY-1833-2,79,79,821
MACAULAY-1843-2,159,159,965
MACAULAY-1849-2,83,83,750
MACHYN-E1,494,494,1290
MACQUARIE-1815-2,144,144,661
MADOX-E2,475,475,2231
MANNERS-E1,5,5,26
MARCHES-E1,0,0,31
MARKHAM-E2,201,201,1309
MASHAM-E2,51,51,333
MATHEWS-1875-2,87,87,1166
MAURICE-1857-2,41,41,995
