File,Hits,Tokens,Total
GORDON-1781-2,401,401,2152
GPOOLE-1500-E1,0,0,114
GPOOLE-1510-E1,0,0,59
GRAFTING-1780-1,1,1,408
GREEN-1874-2,4,4,286
GREVILLE-1827-2,1,1,596
GREVILLE-1855-2,4,4,598
GREY-1914-2,3,3,763
GREY-E1,0,0,4
HARDY-1874-2,61,61,474
HARE-183X-2,63,63,563
HARLEY-E2,0,0,131
HARLEYEDW-E2,0,0,224
HARMAN-E1,48,48,891
HARRIS-177X-2,0,0,517
HARRIS-1797-2,0,0,866
HATCHER-E2,0,0,8
HAYDON-1808-1,47,47,443
HAYDON-1842-2,25,25,434
HAYWARD-E2,9,9,762
HEBER-1815-2,6,6,492
HENRY-1510-E1,0,0,16
HENRY-1520-E1,0,0,93
HENRY-1530-E1,0,0,25
HERSCHEL-1797-1,0,0,284
HIND-1707-1,0,0,461
HOBSON-173X-2,0,0,340
HOBY-E2,0,0,485
HODGKIN-1880-2,2,2,331
HOLCROFT-1794-2,63,63,631
HOLMES-LETTERS-1749-1,7,7,382
HOLMES-TRIAL-1749-1,521,521,1578
HOOKE-E3,3,3,1090
HOOKER-A-E2,44,44,542
HOOKER-B-E2,63,63,506
HOOLE-E3,4,4,1076
HOXINDEN-1640-E3,2,2,194
HOXINDEN-1650-E3,0,0,304
HOXINDEN-1660-E3,0,0,221
HUME-1757-2,0,0,375
HUME-1776-2,0,0,110
HUNT-1844-2,4,4,331
HUXLEY-186X-2,36,36,500
HUXLEY-1889-2,1,1,230
INCHBALD-1793-2,92,92,519
INNES-1902-2,1,1,251
INTERVIEW-E1,0,0,14
IPLUMPT-E1,0,0,17
JACKSON-E3,0,0,28
JBARRING-E2,0,0,142
JETAYLOR-E3,3,3,501
JETAYLORMEAS-E3,3,3,504
JOHNSON-1759-2,17,17,473
JOHNSON-176X-2,11,11,555
JOHNSON-1775-1,31,31,534
JOHNSTONE-1786-2,135,135,456
JOPINNEY-E3,0,0,158
JOTAYLOR-E2,9,9,1275
JOXINDEN-E2,0,0,120
JPINNEY-E3,10,10,68
JUBARRING-E2,0,0,86
JUDALL-E2,54,54,587
JUSTICE-1739-2,1,1,519
KEIMER-1718-2,39,39,885
KIMBER-1742-1,0,0,432
KINGLAKE-1844-2,3,3,427
KINGSLEY-1897-2,8,8,419
KIRKLAND-1774-2,21,21,426
KNOX-1786-2,3,3,315
KNYVETON-1752-ACTUALLY-GRAY-1937-2,7,7,431
KNYVETT-1620-E2-H,0,0,148
KNYVETT-1620-E2-P1,0,0,243
KNYVETT-1630-E2,0,0,157
KOXINDEN-E2,0,0,28
KPASTON-E2,1,1,134
KSCROPE-1530-E1,0,0,8
KSCROPE-1580-E2,0,0,4
LANCASTER1-1806-1,8,8,359
LANCASTER2-1794-2,0,0,302
LANGF-E3,0,0,1046
LATIMER-E1,76,76,842
LAWRENCE-1908-2,61,61,408
LAYARD-1894-2,4,4,420
LAYER-1723-2,289,289,2860
LEATHES-1913-2,14,14,346
LEFEVRE-1843-2,27,27,379
LELAND-E1,0,0,550
LIDDON-1889-2,17,17,462
LIND-1753-1,0,0,307
LINGARD-1823-2,1,1,284
LISLE-E3,360,360,1370
LOCKE-E3,20,20,1094
LONG-1866-1,0,0,433
LORDS-E1,0,0,19
LOUDON-1806-2,0,0,313
LYELL-1830-1,4,4,400
MACAULAY-1833-2,7,7,313
MACAULAY-1843-2,8,8,413
MACAULAY-1849-2,1,1,336
MACHYN-E1,1,1,262
MACQUARIE-1815-2,0,0,186
MADOX-E2,5,5,1022
MANNERS-E1,0,0,19
MARCHES-E1,0,0,29
MARKHAM-E2,0,0,831
MASHAM-E2,3,3,157
MATHEWS-1875-2,122,122,379
MAURICE-1857-2,45,45,626
MAXWELL-1747-1,15,15,668
MEMO-E3,0,0,73
MEREDITH-188X-2,6,6,232
MEREDITH-1895-1,14,14,309
MERRYTAL-E1,20,20,1449
MHATTON-E3,0,0,41
MHOWARD-E1,0,0,23
MIDDLET-E2,227,227,757
MIDSHIPMAN-1767-2,3,3,417
MILES1-1873-2,19,19,323
MILES2-1893-2,5,5,388
MILL-1854-2,23,23,591
MILL-1871-2,6,6,449
MILTON-E3,5,5,755
MONTAGU-1718-1,1,1,419
MONTAGUE-E3,0,0,84
MONTEFIORE-1836-1,7,7,381
MOORE-181X-2,14,14,419
MORELET1-E1,0,0,33
MORELET2-E1,2,2,562
MORERIC-E1,24,24,1314
MOREWOL-E1,0,0,250
MORRIS-172X-2,0,0,321
MORTON-1813-2,114,114,391
MOWNTAYNE-E1,73,73,622
MOXINDEN-E2,0,0,65
MROPER-E1,13,13,652
MTUDOR-1510-E1,0,0,87
MTUDOR-1520-E1,0,0,13
NEVILL-E1,0,0,5
NEWCOME-NEW-1796-1,109,109,817
