File,Hits,Tokens,Total
LANCASTER1-1806-1,372,372,843
LANCASTER2-1794-2,199,199,571
LANGF-E3,317,317,1606
LATIMER-E1,524,524,1607
LAWRENCE-1908-2,684,684,1120
LAYARD-1894-2,378,378,928
LAYER-1723-2,1756,1756,4953
LEATHES-1913-2,508,508,955
LEFEVRE-1843-2,392,392,895
LELAND-E1,792,792,1712
LIDDON-1889-2,295,295,864
LIND-1753-1,199,199,571
LINGARD-1823-2,281,281,705
LISLE-E3,1046,1046,2341
LOCKE-E3,364,364,1687
LONG-1866-1,332,332,974
LORDS-E1,5,5,26
LOUDON-1806-2,270,270,666
LYELL-1830-1,194,194,674
MACAULAY-1833-2,436,436,821
MACAULAY-1843-2,401,401,965
MACAULAY-1849-2,332,332,750
MACHYN-E1,535,535,1290
MACQUARIE-1815-2,331,331,661
MADOX-E2,739,739,2231
MANNERS-E1,2,2,26
MARCHES-E1,2,2,31
MARKHAM-E2,277,277,1309
MASHAM-E2,128,128,333
MATHEWS-1875-2,822,822,1166
MAURICE-1857-2,373,373,995
MAXWELL-1747-1,278,278,1088
MEMO-E3,14,14,100
MEREDITH-188X-2,624,624,979
MEREDITH-1895-1,514,514,924
MERRYTAL-E1,558,558,2630
MHATTON-E3,18,18,62
MHOWARD-E1,2,2,29
MIDDLET-E2,1486,1486,2132
MIDSHIPMAN-1767-2,447,447,1028
MILES1-1873-2,281,281,670
MILES2-1893-2,292,292,773
MILL-1854-2,388,388,1123
MILL-1871-2,254,254,811
MILTON-E3,365,365,1353
MONTAGU-1718-1,321,321,864
MONTAGUE-E3,56,56,164
MONTEFIORE-1836-1,375,375,915
MOORE-181X-2,481,481,1031
MORELET1-E1,5,5,47
MORELET2-E1,99,99,790
MORERIC-E1,237,237,1831
MOREWOL-E1,39,39,325
MORRIS-172X-2,441,441,997
MORTON-1813-2,774,774,1136
MOWNTAYNE-E1,522,522,1448
MOXINDEN-E2,28,28,102
MROPER-E1,105,105,896
MTUDOR-1510-E1,13,13,122
MTUDOR-1520-E1,3,3,21
NEVILL-E1,3,3,16
NEWCOME-NEW-1796-1,706,706,1906
NEWCOME-NEW-1796-2,461,461,1318
NFERRAR-E2,15,15,46
NFERRAR-E2-P2,19,19,48
NHADD-1700-E3,34,34,76
NHADD-1710-E3,19,19,50
NIGHTINGALE-1848-2,445,445,1058
NIGHTINGALE-188X-1,140,140,340
NIGHTINGALE-189X-1,263,263,599
OATES-E3,1293,1293,2905
OCONNELL-1844-2,3172,3172,5482
OFFICER-1744-1,327,327,864
OKEEFFE-1767-2,546,546,934
OKEEFFE-1826-1,353,353,672
OLDMIXON-1716-2,277,277,1025
OMAN-1895-1,400,400,803
OSBORNE-E3,17,17,129
