File,Hits,Tokens,Total
ROXINDEN-1620-E2,37,37,65
ROXINDEN2-E2,30,30,50
RPLUMPT-E1,46,46,76
RPLUMPT2-E1,46,46,81
RUSKIN-1835-1,283,283,760
RUSKIN-1882-2,196,196,615
RUSSELL-E1,14,14,22
RYDER-1716-1,585,585,1203
SALMON-1724-2,404,404,722
SAVILL-E1,87,87,190
SHAKESP-E2,566,566,2201
SHAW-1903-2,385,385,1183
SHERIDAN-1756-2,607,607,911
SKEAVINGTON-184X-1,462,462,841
SMITH-E2,1207,1207,2208
SMOLLETT-175X-2,447,447,925
SOMERS-E3,42,42,68
SOUTHARD-E3,30,30,51
SOUTHEY-1813-1,382,382,960
SPENCER-1680-E3,37,37,64
SPENCER-1700-E3,125,125,176
ST-JOHN-1711-2,673,673,1065
STAT-1500-E1,280,280,298
STAT-1510-E1,70,70,71
STAT-1530-E1,362,362,407
STAT-1540-E1,235,235,259
STAT-1550-E1,210,210,234
STAT-1560-E1,168,168,187
STAT-1570-E2,172,172,192
STAT-1580-E2,251,251,277
STAT-1590-E2,198,198,220
STAT-1600-E2,265,265,295
STAT-1620-E2,189,189,204
STAT-1640-E2,233,233,272
STAT-1660-E3,309,309,348
STAT-1670-E3,109,109,133
STAT-1690-E3,869,869,1015
STATUTES-171X-1,276,276,307
STATUTES-1745-1,241,241,286
STATUTES-1775-1,251,251,303
STATUTES-1805-1,269,269,299
STATUTES-1835-1,373,373,450
STATUTES-1865-1,250,250,388
STATUTES-1895-1,226,226,409
STEVENS-1745-1,413,413,1200
STEVENSO-E1,741,741,1840
STOKES-1887-2,438,438,720
STOW-E2,739,739,1312
STRUTT-1890-1,339,339,794
STRYPE-E3,147,147,268
STURT-1890-2,381,381,1016
STURT-1914-2,381,381,923
SURETY-E1,4,4,7
SWIFT-1726-2,479,479,859
SWIFT-1735-2,494,494,928
TALBOT-1901-1,448,448,918
TALBOT-E2,8,8,22
TBARRING-E2,69,69,136
TEMPLE-1914-2,531,531,1018
THACKERAY-1855-2,453,453,1060
THOMPSON-1859-2,247,247,733
THOMSON-1862-2,369,369,603
THOWARD-E1-H,22,22,26
THOWARD-E1-P1,12,12,23
THOWARD2-E2,1710,1710,3439
THRING-187X-1,392,392,998
THRING-1883-2,452,452,879
THROCKM-E1,872,872,1624
TILLOTS-A-E3,356,356,594
TILLOTS-B-E3,567,567,847
TILLOTS-C-E3,366,366,559
TINDALL-1814-1,398,398,766
TORKINGT-E1,685,685,1653
TOWNLEY-1746-1,533,533,1064
TREVELYAN-1911-2,288,288,664
TREVELYAN-1913-2,336,336,808
TRINCOLL-E2,6,6,9
TROLLOPE-1879-2,489,489,1099
TROLLOPE-1882-1,441,441,984
TUNSTALL-E1-H,92,92,116
TUNSTALL-E1-P1,67,67,97
TURNER-E1,1028,1028,1549
TURNER1-1799-1,319,319,808
TURNER2-1800-1,317,317,737
TURNER3-1722-2,324,324,478
TURNERHERB-E1,35,35,75
TYNDNEW-E1,2145,2145,5302
TYNDOLD-E1,1414,1414,3424
UDALL-E1,623,623,1897
UNDERHILL-E1,291,291,583
VANBR-E3,1062,1062,2739
VICARY-E1,943,943,1945
VICTORIA-186X-DIARY-2,486,486,1130
VICTORIA-186X-OFFICIAL-LETTERS-2,584,584,985
VICTORIA-186X-PRIVATE-LETTERS-1,444,444,1033
WALPOLE-174X-1,537,537,1086
WALPOLE-179X-2,577,577,1105
WALTON-E3,919,919,1669
WATSON-1817-1,1308,1308,3442
WATTS-1726-2,351,351,649
WCECIL-1560-E1,68,68,128
WCECIL-1580-E2,72,72,108
WEATHERS-1913-1,257,257,630
WEBSTER-1718-1,116,116,182
WELLESLEY-1815-1,564,564,979
WESLEY-174X-1,439,439,1102
WESLEY-1750-2,195,195,344
WESLEY-1755-2,307,307,541
WHEWELL-1837-1,416,416,782
WHITE-1784-2,418,418,781
WHITEFIELD-1737-2,531,531,812
WILDE-1895-1,392,392,1191
WILLIAM-1832-2,599,599,829
WOLLASTON-1793-1,475,475,781
WOLLSTONECRAFT-1787-2,505,505,1087
WOLSEY-E1,176,176,236
WOOD-1864-2,402,402,780
WPASTON2-E2,10,10,34
WPLUMPT-1500-E1,20,20,41
WPLUMPT-1510-E1,7,7,14
WPLUMPT-1530-E1,14,14,24
WYLD-1725-2,330,330,617
YONGE-1865-1,437,437,1048
ZOUCH-E3,25,25,32
