File,Date,Genre,hypo-fin,hypo-nonf,para-conj,para-root,para-root2,hypo,para,total
CMKENTSE-M2,1240,Sermon,245,21,80,113,4,266,197,463
CMLAMB1-M1,1215,Sermon,371,52,150,248,12,423,410,833
CMLAMBX1-MX1,1215,Sermon,1425,77,479,786,45,1502,1310,2812
CMMALORY-M4,1460,Fiction,2582,516,3060,1786,138,3098,4984,8082
CMMANDEV-M3,1400,Non-fiction,2737,496,2593,607,1,3233,3201,6434
CMMARGA-M1,1200,Non-fiction,540,76,263,247,10,616,520,1136
CMMIRK-M34,1405,Sermon,3831,646,1963,1497,42,4477,3502,7979
CMNTEST-M3,1395,Bible,677,67,645,635,111,744,1391,2135
CMORM-M1,1200,Non-fiction,3530,770,55,2370,30,4300,2455,6755
CMOTEST-M3,1395,Bible,465,24,462,291,21,489,774,1263
CMPETERB-M1,1143,Non-fiction,274,30,356,268,0,304,624,928
CMPOLYCH-M3,1377,Non-fiction,1770,332,1830,1626,17,2102,3473,5575
CMPURVEY-M3,1387,Non-fiction,1908,371,1486,854,14,2279,2354,4633
CMREYNAR-M4,1481,Fiction,534,79,240,441,46,613,727,1340
CMREYNES-M4,1485,Non-fiction,271,47,130,217,3,318,350,668
CMROLLEP-M24,1348,Non-fiction,1325,165,379,458,15,1490,852,2342
CMROLLTR-M24,1339,Non-fiction,994,156,367,457,14,1150,838,1988
CMROYAL-M34,1425,Sermon,336,49,134,203,26,385,363,748
CMSAWLES-M1,1200,Sermon,296,43,131,117,6,339,254,593
CMSIEGE-M4,1500,Fiction,305,100,515,232,0,405,747,1152
CMTHORN-MX4,1440,Non-fiction,120,10,18,55,0,130,73,203
CMTRINIT-MX1,1215,Sermon,2607,277,1176,1184,24,2884,2384,5268
CMVICES1-M1,1200,Non-fiction,2114,147,302,1088,37,2261,1427,3688
CMVICES4-M34,1400,Non-fiction,520,83,153,182,3,603,338,941
CMWYCSER-M3,1400,Sermon,3569,667,2758,956,85,4236,3799,8035
coadrian,1050,Non-fiction,53,0,11,162,44,53,217,270
coaelhom,1000,Sermon,4180,195,1831,2370,123,4375,4324,8699
coaelive,1010,Non-fiction,5921,505,3715,4498,134,6426,8347,14773
coalcuin,1150,Non-fiction,401,21,97,312,18,422,427,849
coalex,1000,Non-fiction,396,52,240,277,2,448,519,967
coapollo,1050,Fiction,378,34,284,396,29,412,709,1121
coaugust,1150,Sermon,9,0,0,3,0,9,3,12
COBBETT-1838-2,1838,Non-fiction,308,101,110,203,4,409,317,726
cobede,1050,Non-fiction,5220,462,2048,2667,57,5682,4772,10454
cobenrul,1050,Non-fiction,1444,63,282,837,11,1507,1130,2637
coblick,1000,Sermon,2629,144,1349,1763,102,2773,3214,5987
coboeth,950,Non-fiction,4290,153,898,2282,323,4443,3503,7946
cobyrhtf,1050,Non-fiction,386,19,141,426,2,405,569,974
cocanedgD,1010,Legal,230,3,68,6,0,233,74,307
cocanedgX,1063,Legal,254,2,86,9,0,256,95,351
cocathom1,1000,Sermon,6589,271,2869,5480,195,6860,8544,15404
cocathom2,1000,Sermon,5494,338,2739,5283,182,5832,8204,14036
cochad,1150,Non-fiction,201,12,84,75,2,213,161,374
cochdrul,1063,Non-fiction,1370,80,432,558,24,1450,1014,2464
cochristoph,1050,Non-fiction,95,18,54,54,6,113,114,227
cochronA,1000,Non-fiction,437,29,883,552,0,466,1435,1901
cochronC,1050,Non-fiction,708,51,1360,737,0,759,2097,2856
cochronD,1063,Non-fiction,895,60,1695,771,0,955,2466,3421
cochronE,1150,Non-fiction,1463,120,2235,1263,3,1583,3501,5084
cocura,890,Non-fiction,6847,426,1112,2344,97,7273,3553,10826
cocuraC,890,Non-fiction,202,7,51,65,0,209,116,325
codicts,1100,Non-fiction,208,6,30,136,2,214,168,382
codocu1,800,Legal,106,7,37,39,0,113,76,189
codocu2,900,Legal,119,10,56,59,2,129,117,246
codocu3,1000,Legal,382,18,192,171,0,400,363,763
codocu4,1100,Legal,1,0,0,5,0,1,5,6
coeluc1,1150,Non-fiction,129,6,45,49,17,135,111,246
coeluc2,1150,Non-fiction,39,0,1,27,10,39,38,77
coepigen,1050,Non-fiction,64,1,36,29,0,65,65,130
coeuphr,1010,Non-fiction,214,16,163,232,30,230,425,655
coeust,1010,Non-fiction,346,22,266,262,14,368,542,910
coexodusP,1075,Bible,46,4,64,79,4,50,147,197
cogenesiC,1050,Bible,293,13,279,341,21,306,641,947
cogregdC,1050,Non-fiction,6615,302,2677,3082,185,6917,5944,12861
cogregdH,1050,Non-fiction,1950,128,629,1004,69,2078,1702,3780
coherbar,1050,Non-fiction,901,207,484,1995,0,1108,2479,3587
coinspolD,1010,Legal,195,2,54,83,0,197,137,334
coinspolX,1063,Legal,405,7,111,158,4,412,273,685
cojames,1150,Non-fiction,98,9,61,98,6,107,165,272
colacnu,1000,Non-fiction,174,78,205,632,0,252,837,1089
colaece,950,Non-fiction,1306,319,737,3264,0,1625,4001,5626
colaw1cn,1050,Legal,169,5,85,44,1,174,130,304
colaw2cn,1050,Legal,431,4,183,93,0,435,276,711
colaw5atr,1050,Legal,71,1,57,19,0,72,76,148
colaw6atr,1000,Legal,177,3,76,24,0,180,100,280
colawaf,900,Legal,320,5,29,163,0,325,192,517
colawafint,900,Legal,190,18,40,101,0,208,141,349
colawger,1100,Legal,42,3,4,28,0,45,32,77
colawine,1100,Legal,276,4,33,131,0,280,164,444
colawnorthu,1010,Legal,131,0,29,55,0,131,84,215
colawwllad,1150,Legal,16,2,6,4,0,18,10,28
coleofri,1150,Non-fiction,52,1,40,54,2,53,96,149
COLERIDGE-1825-2,1825,Letters,438,111,119,251,11,549,381,930
COLLIER-1835-1,1835,Drama,287,110,86,778,115,397,979,1376
COLMAN-1805-1,1805,Drama,343,103,112,713,117,446,942,1388
colsigef,1150,Letters,107,6,18,43,1,113,62,175
colsigewB,1150,Letters,199,3,113,96,0,202,209,411
colsigewZ,1050,Letters,624,24,321,299,6,648,626,1274
colwgeat,1100,Letters,179,8,55,72,4,187,131,318
colwsigeT,1063,Letters,22,0,8,8,0,22,16,38
colwsigeXa,1050,Letters,244,9,76,104,2,253,182,435
colwstan1,1050,Letters,277,9,110,164,0,286,274,560
colwstan2,1050,Letters,260,5,75,169,1,265,245,510
comargaC,1150,Non-fiction,231,30,236,160,13,261,409,670
comargaT,1050,Non-fiction,190,33,173,197,14,223,384,607
comart1,1050,Non-fiction,69,11,61,54,1,80,116,196
comart2,1063,Non-fiction,233,26,182,187,4,259,373,632
comart3,1000,Non-fiction,1201,144,1040,1156,13,1345,2209,3554
comarvel,1000,Non-fiction,115,1,41,115,0,116,156,272
comary,1010,Non-fiction,443,62,243,316,25,505,584,1089
COMMISS-E3,1673,Letters,22,3,9,10,0,25,19,44
coneot,1150,Non-fiction,100,5,75,87,2,105,164,269
conicodA,1100,Bible,569,23,364,385,49,592,798,1390
conicodC,1150,Bible,300,10,214,229,26,310,469,779
conicodD,1050,Bible,111,5,92,69,12,116,173,289
conicodE,1150,Bible,109,7,62,64,10,116,136,252
CONWAY-E2,1623,Letters,40,7,8,9,0,47,17,64
CONWAY2-E3,1675,Letters,113,28,33,55,1,141,89,230
COOK1-1776-1,1776,Non-fiction,296,137,229,472,2,433,703,1136
COOK2-1901-2,1901,Non-fiction,231,71,94,323,0,302,417,719
COOKE1-1712-1,1712,Non-fiction,393,132,187,328,0,525,515,1040
COOKE2-1770-2,1770,Non-fiction,249,99,96,255,0,348,351,699
coorosiu,950,Non-fiction,3628,155,1511,1634,27,3783,3172,6955
cootest,1050,Bible,3226,169,2949,3517,208,3395,6674,10069
coprefcath1,1000,Non-fiction,89,3,22,37,0,92,59,151
coprefcath2,1000,Non-fiction,14,2,3,9,0,16,12,28
coprefcura,890,Non-fiction,82,3,18,18,0,85,36,121
coprefgen,1050,Non-fiction,96,7,21,56,1,103,78,181
copreflives,1010,Non-fiction,34,1,3,16,0,35,19,54
coprefsolilo,1150,Non-fiction,38,3,2,12,0,41,14,55
coquadru,1050,Non-fiction,150,33,112,384,0,183,496,679
corood,1150,Non-fiction,475,44,298,316,8,519,622,1141
cosevensl,1010,Non-fiction,642,23,382,235,12,665,629,1294
cosolilo,1150,Non-fiction,1496,70,280,860,95,1566,1235,2801
cosolsat1,1150,Non-fiction,59,3,34,266,47,62,347,409
cosolsat2,950,Non-fiction,56,0,20,65,8,56,93,149
cotempo,1000,Non-fiction,319,8,100,237,1,327,338,665
COUNC-E3,1688,Letters,4,1,1,1,0,5,2,7
coverhom,950,Sermon,2896,167,1225,1709,101,3063,3035,6098
coverhomE,1010,Sermon,262,19,144,246,22,281,412,693
coverhomL,1050,Sermon,158,4,28,64,0,162,92,254
COVERTE-E2,1612,Non-fiction,828,183,520,437,0,1011,957,1968
covinceB,1150,Non-fiction,57,3,16,28,2,60,46,106
covinsal,1063,Bible,253,10,191,97,9,263,297,560
cowsgosp,1050,Bible,4818,215,3391,5462,610,5033,9463,14496
cowulf,1000,Sermon,2136,46,911,743,13,2182,1667,3849
COYNE-1855-2,1855,Drama,314,86,80,749,102,400,931,1331
CROMWELL-E1-H,1537,Letters,23,1,0,1,0,24,1,25
CROMWELL-E1,1530,Letters,88,11,13,21,0,99,34,133
CROSSFIELD-1796-2,1796,Legal,1467,228,160,1832,627,1695,2619,4314
DACRE-E1,1513,Letters,41,11,34,18,0,52,52,104
DALTON-1808-2,1808,Non-fiction,440,86,85,289,19,526,393,919
DARWIN-1835-2,1835,Non-fiction,323,63,122,426,4,386,552,938
DARWIN-1842-2,1842,Non-fiction,334,57,90,244,6,391,340,731
DAVY-1814-2,1814,Non-fiction,328,82,184,288,0,410,472,882
DAVYS-1716-1,1716,Drama,513,158,166,618,73,671,857,1528
DECOURCY-1776-2,1776,Sermon,357,89,104,224,23,446,351,797
DEFOE-1719-1,1719,Fiction,589,148,266,218,5,737,489,1226
DELAPOLE-E1,1538,Letters,17,5,7,3,0,22,10,32
DELL-E3,1688,Letters,30,8,6,9,0,38,15,53
DELONEY-E2,1597,Fiction,1119,285,411,793,86,1404,1290,2694
DERING-E3,1647,Letters,98,24,24,53,1,122,78,200
DICKENS-1837-1,1837,Fiction,385,91,97,494,53,476,644,1120
DISRAELI-1827-2,1827,Fiction,365,92,113,432,29,457,574,1031
DODDRIDGE-1747-1,1747,Non-fiction,686,125,151,159,2,811,312,1123
DOYLE-1905-2,1905,Fiction,443,105,146,577,55,548,778,1326
